AR_Ref;DE_No;AS_MontSto;AS_QteSto;AS_QteMini;AS_QteRes;qte_disponible;ratio_tension;en_rupture
1001010101;1;16516.377;14328.0;0.0;0.0;14328.0;0.0;0
1001010101;2;-0.002;0.0;0.0;0.0;0.0;;1
1001010101;4;0.0;0.0;0.0;0.0;0.0;;1
1001010101;7;0.0;0.0;0.0;0.0;0.0;;1
1001010102;7;0.0;0.0;0.0;0.0;0.0;;1
1001010102;2;0.0;0.0;0.0;0.0;0.0;;1
1001010102;1;373.451;324.0;0.0;0.0;324.0;0.0;0
1001010103;1;-0.003;0.0;0.0;0.0;0.0;;1
1001010103;2;0.0;0.0;0.0;0.0;0.0;;1
1001010103;7;0.0;0.0;0.0;0.0;0.0;;1
1001010104;7;0.0;0.0;0.0;0.0;0.0;;1
1001010104;1;3817.742;3312.0;0.0;0.0;3312.0;0.0;0
1001010104;2;0.0;0.0;0.0;0.0;0.0;;1
1001010105;1;0.0;0.0;0.0;0.0;0.0;;1
1001010105;7;0.0;0.0;0.0;0.0;0.0;;1
1001010106;7;0.0;0.0;0.0;0.0;0.0;;1
1001010106;1;0.0;0.0;0.0;0.0;0.0;;1
1001010107;2;0.0;0.0;0.0;0.0;0.0;;1
1001010107;1;1134.26;984.0;0.0;0.0;984.0;0.0;0
1001010107;7;0.0;0.0;0.0;0.0;0.0;;1
1001010108;7;0.0;0.0;0.0;0.0;0.0;;1
1001010108;1;0.007;0.0;0.0;0.0;0.0;;1
1001010109;1;-0.012;0.0;0.0;0.0;0.0;;1
1001010110;1;0.0;0.0;0.0;0.0;0.0;;1
1001010110;7;0.0;0.0;0.0;0.0;0.0;;1
1001010111;1;0.0;0.0;0.0;0.0;0.0;;1
1001010112;1;25.456;24.0;0.0;0.0;24.0;0.0;0
1001010113;1;0.0;0.0;0.0;0.0;0.0;;1
1001010113;7;0.0;0.0;0.0;0.0;0.0;;1
1001010114;7;0.0;0.0;0.0;0.0;0.0;;1
1001010114;1;0.0;0.0;0.0;0.0;0.0;;1
1001010115;1;0.0;0.0;0.0;0.0;0.0;;1
1001010116;1;0.0;0.0;0.0;0.0;0.0;;1
1001010116;7;0.0;0.0;0.0;0.0;0.0;;1
1001010117;7;0.0;0.0;0.0;0.0;0.0;;1
1001010117;1;0.0;0.0;0.0;0.0;0.0;;1
1001010118;1;0.0;0.0;0.0;0.0;0.0;;1
1001010118;7;0.0;0.0;0.0;0.0;0.0;;1
1001010119;1;0.0;0.0;0.0;0.0;0.0;;1
1001010120;1;0.0;0.0;0.0;0.0;0.0;;1
1001010121;1;0.0;0.0;0.0;0.0;0.0;;1
1001010122;1;0.0;0.0;0.0;0.0;0.0;;1
1001010123;1;0.0;0.0;0.0;0.0;0.0;;1
1001010123;7;0.0;0.0;0.0;0.0;0.0;;1
1001010125;7;0.0;0.0;0.0;0.0;0.0;;1
1001010125;1;0.0;0.0;0.0;0.0;0.0;;1
1001010125;2;0.0;0.0;0.0;0.0;0.0;;1
1001010126;1;0.0;0.0;0.0;0.0;0.0;;1
1001010126;7;0.0;0.0;0.0;0.0;0.0;;1
1001010127;1;0.0;0.0;0.0;0.0;0.0;;1
1001010127;7;0.0;0.0;0.0;0.0;0.0;;1
1001010201;7;0.0;0.0;0.0;0.0;0.0;;1
1001010201;4;0.0;0.0;0.0;0.0;0.0;;1
1001010201;2;0.0;0.0;0.0;0.0;0.0;;1
1001010201;1;0.001;0.0;0.0;0.0;0.0;;1
1001010202;1;-0.004;0.0;0.0;0.0;0.0;;1
1001010202;2;-0.003;0.0;0.0;0.0;0.0;;1
1001010202;7;0.0;0.0;0.0;0.0;0.0;;1
1001010204;7;0.0;0.0;0.0;0.0;0.0;;1
1001010204;2;0.0;0.0;0.0;0.0;0.0;;1
1001010204;1;0.0;0.0;0.0;0.0;0.0;;1
1001010205;1;14.079;11.0;0.0;0.0;11.0;0.0;0
1001010205;2;0.0;0.0;0.0;0.0;0.0;;1
1001010205;7;0.0;0.0;0.0;0.0;0.0;;1
1001010206;1;0.0;0.0;0.0;0.0;0.0;;1
1001010207;7;0.0;0.0;0.0;0.0;0.0;;1
1001010207;1;0.0;0.0;0.0;0.0;0.0;;1
1001010208;2;0.0;0.0;0.0;0.0;0.0;;1
1001010208;1;0.0;0.0;0.0;0.0;0.0;;1
1001010208;4;0.0;0.0;0.0;0.0;0.0;;1
1001010208;7;0.0;0.0;0.0;0.0;0.0;;1
1001010209;1;0.0;0.0;0.0;0.0;0.0;;1
1001010210;1;0.0;0.0;0.0;0.0;0.0;;1
1001010210;7;0.0;0.0;0.0;0.0;0.0;;1
1001010210;4;0.0;0.0;0.0;0.0;0.0;;1
1001010211;4;0.0;0.0;0.0;0.0;0.0;;1
1001010211;7;0.0;0.0;0.0;0.0;0.0;;1
1001010211;1;-0.001;0.0;0.0;0.0;0.0;;1
1001010211;2;0.0;0.0;0.0;0.0;0.0;;1
1001010212;1;0.0;0.0;0.0;0.0;0.0;;1
1001010213;2;0.0;0.0;0.0;0.0;0.0;;1
1001010213;7;0.0;0.0;0.0;0.0;0.0;;1
1001010213;1;0.0;0.0;0.0;0.0;0.0;;1
1001010214;1;0.0;0.0;0.0;0.0;0.0;;1
1001010215;1;0.002;0.0;0.0;0.0;0.0;;1
1001010215;7;0.0;0.0;0.0;0.0;0.0;;1
1001010215;2;0.0;0.0;0.0;0.0;0.0;;1
1001010217;1;0.0;0.0;0.0;0.0;0.0;;1
1001010218;1;0.0;0.0;0.0;0.0;0.0;;1
1001010220;1;0.0;0.0;0.0;0.0;0.0;;1
1001010222;1;0.005;0.0;0.0;0.0;0.0;;1
1001010222;2;0.0;0.0;0.0;0.0;0.0;;1
1001010222;7;0.0;0.0;0.0;0.0;0.0;;1
1001010223;7;0.0;0.0;0.0;0.0;0.0;;1
1001010223;1;0.0;0.0;0.0;0.0;0.0;;1
1001010224;1;0.0;0.0;0.0;0.0;0.0;;1
1001010225;1;0.0;0.0;0.0;0.0;0.0;;1
1001010231;1;0.0;0.0;0.0;0.0;0.0;;1
1001010232;7;0.0;0.0;0.0;0.0;0.0;;1
1001010232;1;0.0;0.0;0.0;0.0;0.0;;1
1001010233;1;0.0;0.0;0.0;0.0;0.0;;1
1001010233;7;0.0;0.0;0.0;0.0;0.0;;1
1001010301;7;0.024;0.0;0.0;0.0;0.0;;1
1001010301;4;0.0;0.0;0.0;0.0;0.0;;1
1001010301;2;0.0;0.0;0.0;0.0;0.0;;1
1001010301;1;8.784;4.0;0.0;0.0;4.0;0.0;0
1001010302;1;0.0;0.0;0.0;0.0;0.0;;1
1001010302;7;0.0;0.0;0.0;0.0;0.0;;1
1001010303;7;0.0;0.0;0.0;0.0;0.0;;1
1001010303;2;92.156;42.0;0.0;0.0;42.0;0.0;0
1001010303;1;4.379;2.0;0.0;0.0;2.0;0.0;0
1001010304;1;0.0;0.0;0.0;0.0;0.0;;1
1001010304;2;908.399;414.0;0.0;0.0;414.0;0.0;0
1001010304;7;0.0;0.0;0.0;0.0;0.0;;1
1001010304;4;0.0;0.0;0.0;0.0;0.0;;1
1001010305;4;0.0;0.0;0.0;0.0;0.0;;1
1001010305;7;0.0;0.0;0.0;0.0;0.0;;1
1001010305;2;0.0;0.0;0.0;0.0;0.0;;1
1001010305;1;934.739;426.0;0.0;0.0;426.0;0.0;0
1001010306;1;0.0;0.0;0.0;0.0;0.0;;1
1001010306;7;0.0;0.0;0.0;0.0;0.0;;1
1001010307;7;0.0;0.0;0.0;0.0;0.0;;1
1001010307;2;0.0;0.0;0.0;0.0;0.0;;1
1001010307;1;0.0;0.0;0.0;0.0;0.0;;1
1001010308;1;0.001;0.0;0.0;0.0;0.0;;1
1001010308;2;0.0;0.0;0.0;0.0;0.0;;1
1001010308;7;0.0;0.0;0.0;0.0;0.0;;1
1001010309;7;0.0;0.0;0.0;0.0;0.0;;1
1001010309;1;0.0;0.0;0.0;0.0;0.0;;1
1001010310;1;-0.002;0.0;0.0;0.0;0.0;;1
1001010310;7;0.0;0.0;0.0;0.0;0.0;;1
1001010310;2;0.0;0.0;0.0;0.0;0.0;;1
1001010312;7;0.0;0.0;0.0;0.0;0.0;;1
1001010312;1;0.009;0.0;0.0;0.0;0.0;;1
1001010313;1;0.0;0.0;0.0;0.0;0.0;;1
1001010314;1;1213.131;570.0;0.0;0.0;570.0;0.0;0
1001010314;2;0.0;0.0;0.0;0.0;0.0;;1
1001010316;1;0.0;0.0;0.0;0.0;0.0;;1
1001010317;1;0.0;0.0;0.0;0.0;0.0;;1
1001010318;1;0.0;0.0;0.0;0.0;0.0;;1
1001010319;1;0.0;0.0;0.0;0.0;0.0;;1
1001010319;7;0.0;0.0;0.0;0.0;0.0;;1
1001010320;1;0.0;0.0;0.0;0.0;0.0;;1
1001010320;7;0.0;0.0;0.0;0.0;0.0;;1
1001010321;1;0.0;0.0;0.0;0.0;0.0;;1
1001010322;7;0.0;0.0;0.0;0.0;0.0;;1
1001010322;1;0.0;0.0;0.0;0.0;0.0;;1
1001010322;2;17.41;8.0;0.0;0.0;8.0;0.0;0
1001010323;7;0.0;0.0;0.0;0.0;0.0;;1
1001010323;1;0.0;0.0;0.0;0.0;0.0;;1
1001010324;1;2096.1;1020.0;0.0;750.0;270.0;1.0;0
1001010325;7;0.0;0.0;0.0;0.0;0.0;;1
1001010328;7;0.0;0.0;0.0;0.0;0.0;;1
1001010328;1;0.0;0.0;0.0;0.0;0.0;;1
1001010329;1;0.0;0.0;0.0;0.0;0.0;;1
1001010329;7;0.0;0.0;0.0;0.0;0.0;;1
1001010330;1;0.0;0.0;0.0;0.0;0.0;;1
1001010331;1;0.0;0.0;0.0;0.0;0.0;;1
1001010331;7;0.0;0.0;0.0;0.0;0.0;;1
1001010401;7;0.0;0.0;0.0;0.0;0.0;;1
1001010401;4;0.0;0.0;0.0;0.0;0.0;;1
1001010401;2;0.0;0.0;0.0;0.0;0.0;;1
1001010401;1;0.0;0.0;0.0;0.0;0.0;;1
1001010402;1;0.0;0.0;0.0;0.0;0.0;;1
1001010402;2;0.0;0.0;0.0;0.0;0.0;;1
1001010402;7;0.001;0.0;0.0;0.0;0.0;;1
1001010403;7;0.0;0.0;0.0;0.0;0.0;;1
1001010403;4;0.0;0.0;0.0;0.0;0.0;;1
1001010403;2;0.0;0.0;0.0;0.0;0.0;;1
1001010403;1;0.0;0.0;0.0;0.0;0.0;;1
1001010404;1;16.85;6.0;0.0;0.0;6.0;0.0;0
1001010404;2;0.0;0.0;0.0;0.0;0.0;;1
1001010404;4;0.0;0.0;0.0;0.0;0.0;;1
1001010404;7;0.0;0.0;0.0;0.0;0.0;;1
1001010405;7;0.0;0.0;0.0;0.0;0.0;;1
1001010405;1;0.0;0.0;0.0;0.0;0.0;;1
1001010406;1;0.0;0.0;0.0;0.0;0.0;;1
1001010406;7;0.0;0.0;0.0;0.0;0.0;;1
1001010406;2;0.0;0.0;0.0;0.0;0.0;;1
1001010407;1;193.411;71.0;0.0;0.0;71.0;0.0;0
1001010409;2;0.0;0.0;0.0;0.0;0.0;;1
1001010409;7;0.0;0.0;0.0;0.0;0.0;;1
1001010409;1;0.0;0.0;0.0;0.0;0.0;;1
1001010411;7;0.0;0.0;0.0;0.0;0.0;;1
1001010411;1;0.0;0.0;0.0;0.0;0.0;;1
1001010412;1;0.0;0.0;0.0;0.0;0.0;;1
1001010412;7;0.0;0.0;0.0;0.0;0.0;;1
1001010413;7;0.0;0.0;0.0;0.0;0.0;;1
1001010413;1;0.0;0.0;0.0;0.0;0.0;;1
1001010414;1;0.0;0.0;0.0;0.0;0.0;;1
1001010414;7;0.0;0.0;0.0;0.0;0.0;;1
1001010415;1;0.0;0.0;0.0;0.0;0.0;;1
1001010416;1;0.0;0.0;0.0;0.0;0.0;;1
1001010419;1;0.0;0.0;0.0;0.0;0.0;;1
1001010419;7;0.0;0.0;0.0;0.0;0.0;;1
1001010421;1;0.0;0.0;0.0;0.0;0.0;;1
1001010501;2;0.055;0.0;0.0;0.0;0.0;;1
1001010501;1;4505.846;4248.0;0.0;0.0;4248.0;0.0;0
1001010502;1;0.0;0.0;0.0;0.0;0.0;;1
1001010601;1;0.0;0.0;0.0;0.0;0.0;;1
1001010602;1;1.06;1.0;0.0;0.0;1.0;0.0;0
1001010602;4;0.0;0.0;0.0;0.0;0.0;;1
1001010603;7;0.0;0.0;0.0;0.0;0.0;;1
1001010603;1;0.0;0.0;0.0;0.0;0.0;;1
1001010603;2;0.0;0.0;0.0;0.0;0.0;;1
1001010604;1;4582.228;4320.0;0.0;0.0;4320.0;0.0;0
1001010604;7;0.0;0.0;0.0;0.0;0.0;;1
1001010604;2;0.008;0.0;0.0;0.0;0.0;;1
1001010605;7;0.0;0.0;0.0;0.0;0.0;;1
1001010605;2;-0.031;0.0;0.0;0.0;0.0;;1
1001010605;1;-0.001;0.0;0.0;0.0;0.0;;1
1001010606;1;0.0;0.0;0.0;0.0;0.0;;1
1001010606;2;0.0;0.0;0.0;0.0;0.0;;1
1001010606;7;0.0;0.0;0.0;0.0;0.0;;1
1001010608;7;0.0;0.0;0.0;0.0;0.0;;1
1001010608;1;0.0;0.0;0.0;0.0;0.0;;1
1001010609;1;0.001;0.0;0.0;0.0;0.0;;1
1001010701;7;0.0;0.0;0.0;0.0;0.0;;1
1001010701;4;0.0;0.0;0.0;0.0;0.0;;1
1001010701;2;0.0;0.0;0.0;0.0;0.0;;1
