AR_Ref;FA_CodeFamille;CT_Num_fourn;AR_Sommeil;AR_PrixAch;AR_SuiviStock
1001011004;10010110;1032;0;0.0;2
1001010801;10010108;1032;0;0.0;2
1001011001;10010110;1032;0;0.0;2
1001010802;10010108;1032;0;0.0;2
1001011002;10010110;1032;0;0.0;2
1001010701;10010107;1032;0;0.0;2
1001010601;10010106;1032;1;0.0;2
1001010501;10010105;1032;0;0.0;2
1001010502;10010105;1032;0;0.0;2
1001010602;10010106;1032;0;0.0;2
1001010705;10010107;1032;0;0.0;2
1002010201;10020102;1032;1;0.0;2
1002010301;10020103;1032;0;0.0;2
1002010402;10020104;1351;1;0.0;2
1001020401;10010204;1032;0;0.0;2
1001020402;10010204;1032;1;0.0;2
1001020403;10010204;1032;0;0.0;2
1001020424;10010204;4006;1;0.0;2
1001020404;10010204;1032;0;0.0;2
1001020405;10010204;1032;0;0.0;2
1001020425;10010204;1032;1;0.0;2
1001020301;10010203;1032;0;0.0;2
1001020420;10010204;1032;0;0.0;2
1001020302;10010203;1032;0;0.0;2
1001020406;10010204;1032;0;0.0;2
1001020407;10010204;1032;0;0.0;2
1001020408;10010204;1032;0;0.0;2
1001020409;10010204;1032;0;0.0;2
1001020410;10010204;1032;0;0.0;2
1001020411;10010204;1032;0;0.0;2
1001020201;10010202;1032;0;0.0;2
1001010703;10010107;1032;0;0.0;2
1001010704;10010107;1032;0;0.0;2
1001011005;10010110;1032;0;0.0;2
1001011006;10010110;1032;0;0.0;2
1001020303;10010203;1032;0;0.0;2
1001020429;10010204;1032;0;0.0;2
1001020430;10010204;1032;0;0.0;2
1001020414;10010204;1032;0;0.0;2
1001020304;10010203;1032;1;0.0;2
1001020205;10010202;1032;1;0.0;2
1001011007;10010110;1032;1;0.0;2
1001011008;10010110;1032;1;0.0;2
1001020305;10010203;1032;1;0.0;2
1001020306;10010203;1032;1;0.0;2
1001020419;10010204;1032;1;0.0;2
1001010604;10010106;1032;0;0.0;2
1001010606;10010106;1032;0;0.0;2
1001010605;10010106;1032;0;0.0;2
1001020422;10010204;1032;1;0.0;2
1001020423;10010204;1032;1;0.0;2
1001011009;10010110;1032;0;0.0;2
1001011010;10010110;1032;1;0.0;2
1001010804;10010108;1032;1;0.0;2
1001020433;10010204;1032;0;0.0;2
1001011012;10010110;1032;1;0.0;2
1001010805;10010108;1032;0;0.0;2
TIM;10010105;1001;0;1.0;0
1001010806;10010108;1032;0;0.0;2
5001010101;50010101;;1;0.0;0
5002010101;50020101;;0;0.0;0
5002020101;50020201;;1;0.0;0
5002030101;50020301;;1;0.0;0
5002040101;50020401;;1;0.0;0
5002050101;50020501;;1;0.0;0
5002060101;50020601;;0;0.0;0
5002070101;50020701;;1;0.0;0
5002080101;50020801;;0;0.0;0
5002090101;50020901;;0;0.0;0
5002100101;50021001;;1;0.0;0
5002110101;50021101;;0;0.0;0
5002120101;50021201;;1;0.0;0
5002130101;50021301;;1;0.0;0
5002140101;50021401;;1;0.0;0
5002150101;50021501;;0;0.0;0
5003010101;50030101;;0;0.0;0
5004010101;50040101;;0;0.0;0
5004010102;50040101;;0;0.0;0
5005010101;50050101;;1;0.0;0
5005020101;50050201;;0;0.0;0
5005030101;50050301;;0;0.0;0
5005040101;50050401;;0;0.0;0
5006010101;50060101;;0;0.0;0
5007010101;50070101;;0;0.0;0
5008010101;50080101;;0;0.0;0
5009010101;50090101;FR0001;0;0.0;0
5009020101;50090201;;0;0.0;0
5009030101;50090301;;0;0.0;0
5010010101;50100101;;0;0.0;0
5010020101;50100201;;0;0.0;0
5011010101;50110101;;0;0.0;0
5011020101;50110201;;1;0.0;0
5012010101;50120101;;1;0.0;0
5012020101;50120201;;0;0.0;0
5013010101;50130101;;0;0.0;0
5014010101;50140101;;0;0.0;0
5014020101;50140201;;0;0.0;0
5015010101;50150101;;0;0.0;0
5016010101;50160101;;0;0.0;0
60010101;50090101;FR0001;0;0.0;0
60010102;50080101;FR0001;0;0.0;0
60010103;50090101;FR0001;0;0.0;0
60010104;50090101;FR0001;0;0.0;0
60010105;50090101;FR0001;0;0.0;0
60010106;50090101;FR0001;0;0.0;0
60010107;50090101;FR0001;0;0.0;0
60010108;50090101;FR0001;0;0.0;0
60010109;50090101;FR0001;0;0.0;0
AV-FN;88;1032;0;0.0;2
ESC;10010105;;0;0.0;0
1001020438;10010204;4002;0;0.0;2
1001020437;10010204;1032;1;0.0;2
1101020201;11010202;4082;0;0.0;2
1101020202;11010202;4082;0;0.0;2
1101020203;11010202;4082;0;0.0;2
1101020204;11010202;4082;0;0.0;2
1101020205;11010202;4082;0;0.0;2
1101020206;11010202;4082;0;0.0;2
1101020207;11010202;4082;0;0.0;2
1101020208;11010202;4082;0;0.0;2
1101020209;11010202;4082;0;0.0;2
1101020210;11010202;4006;0;0.0;0
1101020211;11010202;4006;1;0.0;0
1101020212;11010202;4082;0;0.0;2
1101020213;11010202;4082;0;0.0;2
1101020214;11010202;4006;0;0.0;0
1101020215;11010202;4082;0;0.0;2
1101060301;11010603;4082;0;0.0;2
1101060302;11010603;4082;0;0.0;2
1101060303;11010603;4082;0;0.0;2
1101060304;11010603;4082;0;0.0;2
1101060305;11010603;4006;0;0.0;2
1101060306;11010603;4082;0;0.0;2
1101060307;11010603;4082;0;0.0;2
1101060308;11010603;4082;0;0.0;2
1101060311;11010603;4082;0;0.0;2
1101060312;11010603;4002;1;0.0;2
1101060313;11010603;4082;0;0.0;2
1101060314;11010603;4006;0;0.0;0
1101060315;11010603;4006;0;0.0;0
1101060318;11010603;4006;0;0.0;0
1101060319;11010603;4006;0;0.0;0
1101060321;11010603;4082;1;0.0;2
1101060323;11010603;1044;0;0.0;0
1101060325;11010603;4082;0;0.0;2
1101060401;11010604;4082;0;0.0;2
1101060402;11010604;4082;0;0.0;2
1104010702;11040107;4082;0;0.0;2
1103020108;10010105;4002;0;0.0;2
1103020107;11030201;4082;0;0.0;2
1106020204;11060202;1080;0;0.0;2
1102030119;11020301;1289;0;0.0;2
1102030120;11020301;1289;0;0.0;2
1001020218;10010202;1032;0;0.0;2
1107030305;11070303;1080;0;0.0;2
1102030321;11020303;1024;0;0.0;2
1102010104;11020101;1024;0;0.0;2
1102010106;11020101;1024;0;0.0;2
1102020101;11020201;1024;0;0.0;2
1102020105;11020201;1046;0;0.0;2
1102020203;11020202;1046;0;0.0;2
1102020106;11020201;1046;0;0.0;2
1102020107;11020201;1046;0;0.0;2
1102020108;11020201;1046;0;0.0;2
1102010206;11020102;1046;0;0.0;2
1106020304;11060203;1080;0;0.0;2
1102020212;11020202;1046;0;0.0;2
1102020220;11020202;1046;0;0.0;2
1102030121;11020301;1289;0;0.0;2
1102030122;11020301;1289;0;0.0;2
1102010207;11020102;1024;0;0.0;2
1102010216;11020102;1024;0;0.0;2
1102010215;11020102;1024;0;0.0;2
1102010217;11020102;1024;0;0.0;2
1102030123;11020301;1289;0;0.0;2
1102020104;11020201;1024;0;0.0;2
1001010709;10010107;1032;0;0.0;2
1001010807;10010108;1032;0;0.0;2
1001011013;10010110;1032;0;0.0;2
60010200;50090301;FL0047;0;0.0;2
1103050205;11030502;1026;1;0.0;2
1102020211;11020202;1024;0;0.0;2
1102010230;11020102;1024;0;0.0;2
1102010231;11020102;1024;0;0.0;2
1102010224;11020102;1046;0;0.0;2
1107030205;11070302;1080;0;0.0;2
1102010223;11020102;1046;0;0.0;2
1102020117;11020201;1046;0;0.0;2
1101030104;11020301;1080;0;0.0;2
1101030204;11010302;1080;0;0.0;2
1106021003;11060210;1080;0;0.0;2
1106021001;11060210;1080;0;0.0;2
1107030907;11070309;1080;0;0.0;2
1102020103;11020201;1024;0;0.0;2
1102010235;11020102;1046;0;0.0;2
1102010225;11020102;1046;0;0.0;2
1201020305;12010203;1020;0;0.0;2
1102010111;11020101;1024;0;0.0;2
1102010249;11020102;1024;0;0.0;2
1201020322;12010203;1020;1;0.0;2
1201020131;12010201;1020;1;0.0;2
1201020132;12010201;1020;1;0.0;2
1201010602;12010106;1020;1;0.0;2
1106080302;11060803;1155;0;0.0;2
1201020437;10010105;1020;1;0.0;2
1201020228;10010105;1020;1;0.0;2
BAV;50090301;1294;1;0.0;2
1101020216;11010202;4082;1;0.0;2
1101020217;11010202;4082;1;0.0;2
1101090110;10010105;4006;1;0.0;2
1102020235;11020202;1046;0;0.0;2
1102020231;11020202;1046;0;0.0;2
1102010253;11020102;1024;0;0.0;2
1001010710;10010107;1032;0;0.0;2
1102020124;11020201;1046;0;0.0;2
1106020217;11060202;1300;0;0.0;2
1001020607;10010203;3005;0;0.0;2
1106020307;11060203;1300;0;0.0;2
1101060330;11010603;1302;0;0.0;2
1106080209;11060803;1303;0;0.0;2
1101060333;11010603;1302;1;0.0;2
1101060332;11010603;1302;1;0.0;2
1101060331;11010603;1302;1;0.0;2
1107030206;11070302;3007;0;0.0;2
1201020109;12010201;3022;0;0.0;2
1001020219;10010202;1298;0;0.0;2
1001020221;10010202;1298;0;0.0;2
1201020217;12010202;1020;0;0.0;2
1102010101;11020101;1023;0;0.7301;2
1102010102;11020101;1023;0;0.0;2
1102010103;11020101;1023;0;0.0;2
1102010105;11020101;1023;0;0.0;2
1102010107;11020101;1023;0;0.0;2
1102010108;11020101;1023;0;0.0;2
1102010109;11020101;1023;0;0.0;2
1102010110;11020101;1023;0;0.6973;2
1102010112;11020101;1023;0;0.0;2
1102010113;11020101;1023;0;0.0;2
1102010114;11020101;1024;0;0.0;2
1102010115;11020101;1055;0;0.0;2
1102010116;11020101;1023;0;0.0;2
1102010117;11020101;1023;0;0.0;2
1102010118;11020101;1023;0;0.0;2
1102010119;11020101;1023;0;0.0;2
1102010120;11020101;1023;0;0.0;2
1102010121;11020101;1188;0;0.0;2
1102010123;11020101;1188;0;0.0;2
1102010124;11020101;1188;0;0.0;2
1102010125;11020101;1188;0;0.0;2
1102010126;11020101;1023;0;0.0;2
1102010127;11020101;1023;0;0.0;2
1102010128;11020101;1023;0;0.0;2
1102010129;11020101;1023;0;0.0;2
1102010130;11020101;1023;0;0.0;2
1102010131;11020101;1023;0;0.0;2
1102010132;11020101;1023;0;0.0;2
1102010201;11020102;1023;0;0.0;2
1102010202;11020102;1023;0;0.0;2
1102010203;11020102;1023;0;0.0;2
1102010204;11020102;1024;1;0.0;2
11020102041;11020102;1023;1;0.0;2
1102010205;11020102;1046;0;0.0;2
1102010208;11020102;1023;0;0.0;2
1102010209;11020102;1023;0;0.0;2
1102010210;11020102;1023;0;0.0;2
1102010211;11020102;1023;0;0.0;2
1102010212;11020102;1023;0;0.0;2
1102010213;11020102;1023;0;0.0;2
1102010214;11020102;1023;0;0.0;2
1102010218;11020102;1023;0;0.0;2
1102010219;11020102;1046;0;0.0;2
1102010220;11020102;1046;0;0.0;2
1102010221;11020102;1023;0;0.0;2
1102010222;11020102;1023;0;0.0;2
1102010226;11020102;1023;0;0.0;2
1102010227;11020102;1023;0;0.0;2
1102010228;11020102;1023;0;0.0;2
1102010229;11020102;1023;0;0.0;2
1102010232;11020102;1023;1;0.0;2
1102010234;11020102;1046;0;0.0;2
1102010236;11020102;1023;0;0.0;2
1102010237;11020102;1046;0;0.0;2
1102010238;11020102;1024;0;0.0;2
1102010239;11020102;1024;0;0.0;2
1102010240;11020102;1023;0;0.0;2
1102010241;11020102;1023;1;0.0;2
1102010242;11020102;1023;1;0.0;2
1102010243;11020102;1182;0;0.0;2
1102010244;11020102;1023;1;0.0;2
1102010245;11020102;1046;0;0.0;2
1102010246;11020102;1023;0;0.0;2
1102010247;11020102;1024;0;0.0;2
1102010248;11020102;1023;0;0.0;2
1102010250;11020102;1023;1;0.0;2
1102010251;11020102;1023;0;0.0;2
1102010252;11020102;1023;0;0.0;2
1102020102;11020201;1023;0;0.0;2
1102020109;11020201;1294;0;0.0;2
1102020110;11020201;1023;1;0.0;2
1102020111;11020201;1023;0;0.0;2
1102020112;11020201;3023;0;0.0;2
1102020113;11020201;1023;0;0.0;2
1102020114;11020201;3012;0;0.0;2
1102020115;11020201;1023;0;0.0;2
1102020116;11020201;1023;0;0.0;2
1102020118;11020201;1023;0;0.0;2
1102020119;11020201;1182;0;0.0;2
1102020120;11020101;1023;0;0.0;2
