CT_Num;CT_SoldeActuel;CT_Engagement;CT_ChiffreAffaire;CT_EchusUnMois;CT_EchusDeuxMois;CT_EchusTroisMois;CT_EchusPlusTroisMois;CT_MoyenneDelaiPayement;CT_MoyenneDelaiImpaye
8010001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010010;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010030;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8010032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
