FA_CodeFamille;FA_Intitule;CL_No1;CL_No2;CL_No3;CL_No4
10010110;LIQUIDE BOISSONS GAZ FRUITS 1.5L;1;2;4;11
10010108;LIQUIDE BOISSONS GAZ FRUITS 1L;1;2;4;10
10010107;LIQUIDE BOISSONS GAZ FRUITS 0.5L;1;2;4;9
10010106;LIQUIDE BOISSONS GAZ FRUITS 33CL;1;2;4;8
10010105;LIQUIDE BOISSONS GAZ FRUITS 25CL;1;2;4;7
10020102;LIQUIDE EAU PLATE EAU THERMALE PLAT;1;3;6;15
10020103;LIQUIDE EAU PLATE EAU THERMALE PLAT;1;3;6;15
10020104;LIQUIDE EAU PLATE EAU THERMALE PLAT;1;3;6;15
10010204;LIQUIDE BOISSONS NON GAZ JUS 1L;1;2;5;14
10010203;LIQUIDE BOISSONS NON GAZ JUS 25CL;1;2;5;13
10010202;LIQUIDE BOISSONS NON GAZ JUS 20CL;1;2;5;12
50010101;ETUDE ET PRESTATION SERVICE;0;0;0;0
50020101;ACHAT FOUR. BUREAU (stylo,cartouch;0;0;0;0
50020201;ACHAT CARTOUCHE;0;0;0;0
50020301;ACHAT RAME PAPIER;0;0;0;0
50020401;ACHAT CHRONO;0;0;0;0
50020501;ACHAT CHEMISE CRAFT ET CARTONNER;0;0;0;0
50020601;ACHAT FOURNITURES INFORMATIQUES;0;0;0;0
50020701;ACHAT AUTRES FOURNITURES DE BUREAU;0;0;0;0
50020801;ELECTRICITE;0;0;0;0
50020901;EAUX;0;0;0;0
50021001;ACHAT PETIT OUTILLAGE;0;0;0;0
50021101;PRODUITS D'HYGIENE  (pdt de nettoya;0;0;0;0
50021201;ACHAT JAVEL,DETERGENT;0;0;0;0
50021301;ACHAT PAPIER HYGIENIQUE;0;0;0;0
50021401;ACHAT SAVON;0;0;0;0
50021501;CARBURANT KSAR SAID;0;0;0;0
50030101;LOYER;0;0;0;0
50040101;ENTRETIEN & REPARATION;0;0;0;0
50050101;REPARATION COMPLET;0;0;0;0
50050201;VIDANGE;0;0;0;0
50050301;LAVAGE;0;0;0;0
50050401;ENTRETIEN E REPARATION DEPOT;0;0;0;0
50060101;PRIME ASSURANCE;0;0;0;0
50070101;REMUNERATION  D'INTERME HONORAIRES;0;0;0;0
50080101;DON;0;0;0;0
50090101;TRANS / ACHAT ET VENTE;0;0;0;0
50090201;FRAIS AUTOROUTE;0;0;0;0
50090301;DIVERS (autre charge);0;0;0;0
50100101;FRAIS DE MISSIONS;0;0;0;0
50100201;VOYAGES ET DEPLACEMENTS;0;0;0;0
50110101;FRAIS POSTAUX ET TELECOMMUNICATION;0;0;0;0
50110201;FRAIS POSTAUX;0;0;0;0
50120101;FRAIS TELECOMMUNICATION;0;0;0;0
50120201;TAXES S/VEHICULES;0;0;0;0
50130101;PENALITES & AMENDES;0;0;0;0
50140101;AVANCE SUR SALAIRE;0;0;0;0
50140201;PRIME;0;0;0;0
50150101;SALAIRE;0;0;0;0
50160101;PRÃŠT PERSONNEL;0;0;0;0
88;SOLDE DEPART NON GERER EN STOCK;0;0;0;0
11040107;EPICERIE DESSERT AIDE P. LAIT CONCE;0;0;0;0
11010604;EPICERIE P.DEJ CAFE CHICORE;0;0;0;0
11010603;EPICERIE P.DEJ CAFE CAFE SOLUBLE;20;44;45;46
11010202;LIQUIDES BOISSONS NON GAZ JUS 20CL;0;0;0;0
11030201;EPICERIE CONFISERIE CHOC- CEREA BAR;20;21;22;23
11060202;EPICERIE CONSERVES LEGUMES TOMATE C;20;24;25;26
11020301;EPICERIE BISCUIT COOKIES COOKIES;20;27;28;29
11070303;EPICERIE ASST SAUCE HARISSA 1/2 KG;20;30;31;32
11020303;EPICERIE BISCUIT GOUTER GOUTER;20;27;33;34
11020101;EPICERIE BISCUIT SEC ET GAUFR SEC;20;27;35;36
11020201;EPICERIE BISCUIT ENR ET FOUR ENROBE;20;27;37;38
11020202;EPICERIE BISCUIT ENR ET FOUR FOURRE;20;27;37;39
11020102;EPICERIE BISCUIT SEC ET GAUFR GAUFR;20;27;35;40
11060203;TOMATE SICAM 1/2KG-24P-;20;24;25;41
11030502;EPICERIE CONFISERIE CHAMIA AMANDE;20;21;42;43
11070302;EPICERIE ASST SAUCE HARISSA 135 G;20;30;31;47
11010301;EPICERIE P.DEJ CONFITURE COING;20;44;48;49
11010302;EPICERIE P.DEJ CONFITURE FIGUE;20;44;48;50
11060210;EPICERIE CONSERVES LEGUMES TOMATE P;20;24;25;51
11070309;EPICERIE ASST SAUCE SAUCE PIZZA;20;30;31;52
12010203;FRAIS FROMAGE FRAIS RAPE;0;0;0;0
120101;FRAIS FROMAGE FONDU;0;0;0;0
12010201;FRAIS FROMAGE FRAIS FONDU;0;0;0;0
12010106;FRAIS FROMAGE FONDU PORT. 80;0;0;0;0
110608;EPICERIE CONSERVES THON HV;0;0;0;0
11060803;EPICERIE CONSERVES THON HV 140 G;20;24;60;61
10010206;LIQUIDE BOISSONS NON GAZ BOISSONS E;1;2;5;0
12010202;FRAIS FROMAGE FRAIS FRAIS;0;0;0;0
11020305;EPICERIE BISCUIT GOUTER MUFFINS;20;27;33;62
11020302;EPICERIE BISCUIT GOUTER CAKE;20;27;33;63
09;HALELEM;0;0;0;0
10010101;LIQUIDE BOISSONS GAZ COLA 33CL;0;0;0;0
10010102;LIQUIDE BOISSONS GAZ COLA 0.5L;0;0;0;0
10010103;LIQUIDE BOISSONS GAZ COLA 1L;0;0;0;0
10010104;LIQUIDE BOISSONS GAZ COLA 1.5L;0;0;0;0
10010109;LIQUIDE BOISSONS GAZ FRUITS 1.3L;0;0;0;0
10010201;LIQUIDE BOISSONS NON GAZ JUS 125CL;0;0;0;0
10010205;LIQUIDE BOISSONS NON GAZ JUS 1.5L;0;0;0;0
10020101;LIQUIDE EAU PLATE EAU THERMALE PLAT;0;0;0;0
11010103;EPICERIE P.DEJ BISC & ASIM PAIN GRI;0;0;0;0
11010201;EPICERIE P.DEJ CEREALES ENFANT;0;0;0;0
11010303;EPICERIE P.DEJ CONFITURE ABRICOT;0;0;0;0
11010304;EPICERIE P.DEJ CONFITURE FRAISE;0;0;0;0
