DO_Domaine;DO_Type;DO_Piece;DO_Date
1;17;1;2020-06-27
1;17;2;2020-06-27
0;7;1;2020-06-27
0;7;2;2020-06-27
0;7;3;2020-06-27
1;17;AM00000000003;2020-06-29
1;17;AM00000000004;2020-06-29
1;17;AM00000000005;2020-06-29
0;7;MF00000000004;2020-06-30
0;7;MF00000000005;2020-06-30
1;17;AM00000000006;2020-06-30
1;17;AM00000000007;2020-06-30
0;7;MF00000000006;2020-06-30
0;7;MF00000000007;2020-06-30
0;7;MF00000000008;2020-06-30
0;7;MF00000000009;2020-06-30
0;7;MF00000000010;2020-06-30
0;7;MF00000000011;2020-06-30
1;17;AM00000000008;2020-06-30
1;17;AM00000000009;2020-06-30
0;7;MF00000000012;2020-06-30
0;7;MF00000000013;2020-06-30
0;7;MF00000000014;2020-06-30
1;17;AM00000000010;2020-07-02
1;17;AM00000000011;2020-07-02
0;7;MF00000000015;2020-07-02
1;17;AM00000000012;2020-07-02
1;17;AM00000000013;2020-07-02
1;17;AM00000000014;2020-07-02
0;7;MF00000000016;2020-07-02
0;7;MF00000000017;2020-07-02
0;7;MF00000000018;2020-07-02
0;7;MF00000000019;2020-07-02
0;7;MF00000000020;2020-07-02
0;7;MF00000000021;2020-07-02
0;7;MF00000000022;2020-07-02
0;7;MF00000000023;2020-07-02
0;7;MF00000000024;2020-07-02
0;7;MF00000000025;2020-07-02
0;7;MF00000000026;2020-07-02
0;7;MF00000000027;2020-07-03
0;7;MFR0000000001;2020-07-02
0;7;MF00000000028;2020-07-02
0;7;MF00000000029;2020-07-04
0;7;MF00000000030;2020-07-06
0;7;MF00000000031;2020-07-06
1;17;AM00000000015;2020-07-06
0;7;MF00000000032;2020-07-06
1;17;AM00000000016;2020-07-06
0;7;MF00000000033;2020-07-06
0;7;MF00000000034;2020-07-06
0;7;MF00000000035;2020-07-06
0;7;MF00000000036;2020-07-06
0;7;MF00000000037;2020-07-06
0;7;MF00000000038;2020-07-06
0;7;MF00000000039;2020-07-06
1;17;AM00000000017;2020-07-07
1;17;AM00000000018;2020-07-07
0;7;MF00000000040;2020-07-07
0;7;MF00000000041;2020-07-07
0;7;MF00000000042;2020-07-07
0;7;MF00000000043;2020-07-07
0;7;MF00000000044;2020-07-07
0;7;MF00000000045;2020-07-07
0;7;MFR0000000002;2020-07-06
0;7;MFR0000000003;2020-07-06
0;7;MFR0000000004;2020-06-30
1;17;AM00000000019;2020-07-08
0;7;MF00000000046;2020-07-08
0;7;MF00000000047;2020-07-08
0;7;MF00000000048;2020-07-08
1;17;AM00000000020;2020-07-08
1;17;AM00000000021;2020-07-08
0;7;MF00000000049;2020-07-08
0;7;MF00000000050;2020-07-08
0;7;MF00000000051;2020-07-08
0;7;MF00000000052;2020-07-08
1;17;AM00000000022;2020-07-08
0;7;MF00000000053;2020-07-08
1;17;AM00000000023;2020-07-08
0;7;MF00000000054;2020-07-08
0;7;MF00000000055;2020-07-09
0;7;MF00000000056;2020-07-09
1;17;AM00000000024;2020-07-09
1;17;AM00000000025;2020-07-09
0;7;MF00000000057;2020-07-09
0;7;MF00000000058;2020-07-09
1;17;AM00000000026;2020-07-09
1;17;AM00000000027;2020-07-09
0;7;MF00000000059;2020-07-09
0;7;MFR0000000005;2020-07-08
0;7;MF00000000060;2020-07-08
0;7;MF00000000061;2020-07-10
1;17;AM00000000028;2020-07-10
1;17;AM00000000029;2020-07-10
0;7;MF00000000062;2020-07-10
0;7;MF00000000063;2020-07-10
0;7;MF00000000064;2020-07-10
1;17;AM00000000030;2020-07-10
0;7;MF00000000065;2020-07-10
1;17;AM00000000031;2020-07-10
0;7;MF00000000066;2020-07-10
0;7;MF00000000067;2020-07-13
