DO_Piece;DR_Montant;DR_Regle;DR_ModeReg
CHC001;0.0;0;2
CHC001;0.0;0;1
CHCI016;0.0;0;1
CHCI016;0.0;0;1
MF2300000;0.0;0;1
MF2300000;0.0;0;2
MF2300000;0.0;0;1
MF2300000;0.0;0;2
MF2300000;0.0;0;1
MF2300000;0.0;0;1
MF2300000;0.0;0;1
MF2300000;0.0;0;2
MF2300000;0.0;0;2
278;0.0;0;1
290;0.0;0;1
293;0.0;0;1
296;0.0;0;1
297;0.0;0;1
302;0.0;0;1
4539;0.0;0;1
4543;0.0;0;1
4557;0.0;0;1
4596;0.0;0;1
4621;0.0;0;1
4622;0.0;0;1
4623;0.0;0;1
4624;0.0;0;1
4625;0.0;0;1
4627;0.0;0;1
4628;0.0;0;1
4630;0.0;0;1
4631;0.0;0;1
4634;0.0;0;1
MF2300003;0.0;0;1
MF2300002;0.0;0;1
MF2300002;0.0;0;2
MF2300002;0.0;0;2
MF2300002;0.0;0;1
MF2300002;0.0;0;2
MF2300002;0.0;0;1
MF2300002;0.0;0;1
MF2300003;0.0;0;2
MF2300003;0.0;0;2
MF2300002;0.0;0;1
MF2300003;0.0;0;1
MF2300003;0.0;0;2
MF2300003;0.0;0;1
MF2300002;0.0;0;1
MF2300003;0.0;0;1
MF2300002;0.0;0;1
MF2300003;0.0;0;1
MF2300003;0.0;0;1
MF2300003;0.0;0;1
MF2300007;0.0;0;2
MF2300008;0.0;0;1
FC0000001;0.0;0;2
FC0000001;0.0;0;1
FC0000002;0.0;0;1
FC0000002;0.0;0;1
FC0000003;0.0;0;2
FC0000003;0.0;0;1
FC0000004;0.0;0;2
FC0000004;0.0;0;1
FC0000005;0.0;0;2
FC0000005;0.0;0;1
FC0000006;0.0;0;1
FC0000006;0.0;0;1
FC0000007;0.0;0;1
FC0000007;0.0;0;1
FC0000008;0.0;0;1
FC0000008;0.0;0;1
FC0000009;0.0;0;2
FC0000009;0.0;0;1
FC0000010;0.0;0;2
FC0000010;0.0;0;1
FC0000011;0.0;0;2
FC0000011;0.0;0;1
FC0000012;0.0;0;2
FC0000012;0.0;0;1
FC0000013;0.0;0;1
FC0000013;0.0;0;1
FC0000014;0.0;0;1
FC0000014;0.0;0;1
FC0000015;0.0;0;1
FC0000015;0.0;0;1
MF2300011;0.0;0;1
MF2300014;0.0;0;1
MF2300016;0.0;0;1
MF0000001;0.0;0;1
MF2300017;0.0;0;1
MF2300020;0.0;0;1
AM2300002;0.0;0;1
AM2300003;0.0;0;1
AM2300000;0.0;0;1
AM2300000;0.0;0;1
AM2300000;0.0;0;1
AM2300000;0.0;0;1
AM2300001;0.0;0;1
AM2300001;0.0;0;1
MF2300021;0.0;0;1
MF2300001;0.0;0;2
MF2300006;0.0;0;2
MF2300005;0.0;0;2
MF2300004;0.0;0;2
MF2300009;0.0;0;2
