MC_Numero;MC_Date;MC_TypeMvt;MC_Debit;MC_Credit;MC_Cloture;CA_No;CA_Type;CA_Solde;CA_SoldeEspece;CA_SoldeCheque;JO_Num
MC2301020001;2023-01-02;2;5108.999;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2301020002;2023-01-02;2;4350.6;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2301020001;2023-01-02;29;0.0;25.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2301020002;2023-01-02;41;0.0;17.4;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2301020003;2023-01-02;41;0.0;17.4;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2301020004;2023-01-02;34;0.0;4.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2301020003;2023-01-02;2;0.003;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2301020001;2023-01-02;29;0.0;90.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2301020004;2023-01-02;2;51.6;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2301020002;2023-01-02;29;0.0;30.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2301020003;2023-01-02;29;0.0;180.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2301020004;2023-01-02;29;0.0;90.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2301020005;2023-01-02;29;0.0;60.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2301020005;2023-01-02;2;2640.652;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2301020006;2023-01-02;29;0.0;60.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2301020007;2023-01-02;29;0.0;120.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2301020008;2023-01-02;29;0.0;1200.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2301020009;2023-01-02;29;0.0;150.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2301020006;2023-01-02;2;11770.6;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
