RT_Num;CT_Num;DO_Type;DO_Piece;RT_Date;RT_Mode;RT_Montant;RT_Etat;BQ_Num
RF00000001;1298;0;AM00000003978;2023-01-03 00:00:00;2;21235.5;2;AMEN BK 1
RF00000002;1298;0;AM00000003978;2023-01-03 00:00:00;5;214.5;2;
22AV001;1080;0;AM23000046;2022-11-30 00:00:00;3;1000000.0;2;AMEN BK 1
22AV002;1080;0;4622;2022-12-09 00:00:00;3;1177329.895;2;AMEN BK 1
22AV003;1080;0;AM23000040;2022-12-09 00:00:00;5;37144.746;2;AMEN BK 1
22AV004;1080;0;AM00000003827;2022-12-09 00:00:00;3;1500000.0;2;AMEN BK 1
22AV005;1049;0;AM23000052;2022-12-30 00:00:00;3;10499.456;2;AMEN BK 1
22AV006;1049;0;AM23000052;2022-12-30 00:00:00;5;1256.557;2;AMEN BK 1
RF00000003;1020;16;293;2023-01-05 00:00:00;2;16050.629;2;AMEN BK 1
RF00000004;1020;0;AM00000003982;2023-01-05 00:00:00;5;162.128;2;
RF00000005;AMEN BANK 1;0;;2023-01-06 00:00:00;2;5000.0;0;AMEN BK 1
RF00000006;5097;0;2023-000.905;2023-01-06 00:00:00;2;9979.8;2;AMEN BK 1
RF00000007;1235;0;;2023-01-04 00:00:00;4;2500.0;0;AMEN BK 2
RF00000008;4082;17;AM23000036;2023-01-09 00:00:00;2;136528.935;2;AMEN BK 1
RF00000009;4082;17;AM23000036;2023-01-09 00:00:00;5;1379.08;2;
RF00000010;FEX5632;17;1746;2023-01-09 00:00:00;2;1248.444;2;AMEN BK 1
RF00000011;FEX5632;17;1746;2023-01-09 00:00:00;5;12.611;2;
RF00000012;FEX7893;17;285;2023-01-09 00:00:00;2;350.0;2;AMEN BK 1
RF00000013;1032;17;AM00000003974;2023-01-09 00:00:00;2;87525.65;2;AMEN BK 1
RF00000014;1032;17;AM00000003974;2023-01-09 00:00:00;5;884.097;2;
RF00000015;1032;17;AM00000003975;2023-01-10 00:00:00;2;58590.629;2;AMEN BK 1
RF00000016;1032;17;AM00000003975;2023-01-10 00:00:00;5;591.825;2;
RF00000017;LM01;0;02/2023;2023-01-10 00:00:00;2;30000.0;2;AMEN BK 1
RF00000018;LM01;0;07/2023;2023-01-10 00:00:00;5;3333.333;2;
RF00000019;AMEN BANK 1;0;;2023-01-10 00:00:00;2;5000.0;0;AMEN BK 1
RF00000020;1032;17;AM00000003976;2023-01-12 00:00:00;2;83927.929;2;AMEN BK 1
RF00000021;1032;17;AM00000003976;2023-01-12 00:00:00;5;847.757;2;
RF00000022;4082;17;AM23000054;2023-01-12 00:00:00;2;162085.596;2;AMEN BK 1
RF00000023;4082;17;AM23000054;2023-01-12 00:00:00;5;1637.228;2;
RF00000024;1298;17;AM23000055;2023-01-12 00:00:00;2;21235.5;2;AMEN BK 1
RF00000025;1298;17;AM23000055;2023-01-12 00:00:00;5;214.5;2;
RF00000026;FLE0016;17;66122261;2023-01-13 00:00:00;2;2361.678;2;AMEN BK 1
RF00000027;5097;0;2023-001.735;2023-01-13 00:00:00;2;9980.2;2;AMEN BK 1
RF00000028;1013;17;AM23000070;2023-01-14 00:00:00;2;10399.207;2;AMEN BK 1
RF00000029;1013;17;AM23000070;2023-01-14 00:00:00;5;105.042;2;
RF00000030;1032;17;AM23000045;2023-01-16 00:00:00;2;46843.159;2;AMEN BK 1
RF00000031;1032;17;AM23000045;2023-01-16 00:00:00;5;473.163;2;
RF00000032;1080;0;AM23000143;2023-01-16 00:00:00;3;1500000.0;2;AMEN BK 1
RF00000033;1075;17;AM00000003937;2023-01-17 00:00:00;3;35000.0;2;AMEN BK 1
RF00000034;1075;17;AM00000003937;2023-01-17 00:00:00;3;35000.0;2;AMEN BK 1
RF00000035;1075;17;AM00000003937;2023-01-17 00:00:00;3;34924.754;2;AMEN BK 1
RF00000036;1075;0;AM00000003937;2023-01-17 00:00:00;5;1059.846;2;
RF00000037;1017;17;AM23000067;2023-01-17 00:00:00;2;42282.458;2;AMEN BK 1
RF00000038;1017;17;AM23000067;2023-01-17 00:00:00;5;427.096;2;
RF00000039;4081;17;AM23000053;2023-01-17 00:00:00;2;12540.0;2;AMEN BK 1
RF00000040;1296;17;AM23000022;2023-01-17 00:00:00;2;7350.462;2;AMEN BK 1
RF00000041;4093;0;;2023-01-17 00:00:00;2;11541.818;0;AMEN BK 1
RF00000042;4093;0;;2023-01-17 00:00:00;5;116.584;0;
RF00000043;FEX126;17;20383;2023-01-17 00:00:00;2;4151.453;2;AMEN BK 1
RF00000044;FEX126;17;20383;2023-01-17 00:00:00;5;41.934;2;
RF00000045;5099;0;1/2023;2023-01-18 00:00:00;4;669.375;2;AMEN BK 1
RF00000046;5099;0;1/2023;2023-01-18 00:00:00;5;74.375;2;
RF00000049;4082;17;AM23000083;2023-01-19 00:00:00;2;121958.722;2;AMEN BK 1
RF00000050;4082;17;AM23000083;2023-01-19 00:00:00;5;1231.906;2;
RF00000051;1017;17;AM23000086;2023-01-19 00:00:00;2;77103.852;2;AMEN BK 1
RF00000052;1017;17;AM23000086;2023-01-19 00:00:00;5;778.827;2;
RF00000053;1013;17;AM23000084;2023-01-19 00:00:00;2;10883.278;2;AMEN BK 1
RF00000054;1013;17;AM23000084;2023-01-19 00:00:00;5;109.932;2;
RF00000055;3022;17;AM23000085;2023-01-19 00:00:00;2;4720.68;2;AMEN BK 1
RF00000056;1032;17;AM23000056;2023-01-20 00:00:00;2;58152.963;2;AMEN BK 1
RF00000057;1032;17;AM23000056;2023-01-20 00:00:00;5;587.404;2;
RF00000058;1319;0;AM23000092;2023-01-23 00:00:00;2;49000.0;2;AMEN BK 1
RF00000060;1080;17;AM23000040;2023-01-24 00:00:00;3;36668.7;2;AMEN BK 1
RF00000061;1080;17;AM23000040;2023-01-24 00:00:00;5;370.391;2;
RF00000062;FEX856;17;fv22121121;2023-01-24 00:00:00;2;98.414;2;AMEN BK 1
RF00000063;1298;17;AM23000099;2023-01-24 00:00:00;2;21235.5;2;AMEN BK 1
RF00000064;1298;17;AM23000099;2023-01-24 00:00:00;5;214.5;2;
RF00000065;4082;17;AM23000098;2023-01-24 00:00:00;2;192311.224;2;AMEN BK 1
RF00000066;4082;17;AM23000098;2023-01-24 00:00:00;5;1942.538;2;
RF00000067;4082;17;AM23000091;2023-01-24 00:00:00;2;74430.29;2;AMEN BK 1
RF00000068;4082;17;AM23000091;2023-01-24 00:00:00;5;751.821;2;
RF00000069;AMEN BANK 1;0;;2023-01-25 00:00:00;2;5000.0;0;AMEN BK 1
RF00000070;5097;0;2023-002.981;2023-01-25 00:00:00;2;9980.2;2;AMEN BK 1
RF00000073;FL1128;17;RELIQ 12/22+01+02;2023-01-28 00:00:00;2;567.0;2;AMEN BK 1
RF00000074;FL1128;17;RELIQ 12/22+01+02;2023-01-28 00:00:00;5;63.0;2;
RF00000075;4082;17;AM23000112;2023-01-28 00:00:00;2;51019.935;2;AMEN BK 1
RF00000076;4082;17;AM23000112;2023-01-28 00:00:00;5;515.353;2;
RF00000077;1017;17;AM23000111;2023-01-28 00:00:00;2;16007.458;2;AMEN BK 1
RF00000078;1017;17;AM23000111;2023-01-28 00:00:00;5;161.692;2;
RF00000079;1032;16;AM23000134;2023-01-30 00:00:00;2;8028.79;2;AMEN BK 1
RF00000080;1032;16;AM23000134;2023-01-30 00:00:00;5;81.099;2;
RF00000081;1319;0;AM23000116;2023-01-30 00:00:00;2;37354.899;2;AMEN BK 1
RF00000082;1032;16;MAV23000012;2023-01-31 00:00:00;2;49311.884;2;AMEN BK 1
RF00000083;1032;0;AM23000101;2023-01-31 00:00:00;5;498.1;2;
RF00000084;1321;17;AM23000103;2023-02-01 00:00:00;3;82829.344;2;AMEN BK 1
RF00000085;AMEN BANK 1;0;;2023-02-02 00:00:00;2;5000.0;0;AMEN BK 1
RF00000086;5097;0;2023-003.877;2023-02-02 00:00:00;2;9980.2;2;AMEN BK 1
RF00000087;1298;17;AM23000144;2023-02-02 00:00:00;2;21235.5;2;AMEN BK 1
RF00000088;1298;17;AM23000144;2023-02-02 00:00:00;5;214.5;2;
RF00000089;4082;17;AM23000136;2023-02-02 00:00:00;2;252822.26;2;AMEN BK 1
RF00000090;4082;17;AM23000136;2023-02-02 16:10:00;5;2553.76;2;
RF00000091;1032;0;AM23000148;2023-02-02 00:00:00;2;16057.58;2;AMEN BK 1
RF00000092;1032;0;AM23000151;2023-02-02 00:00:00;5;162.198;2;
RF00000093;1032;17;AM23000153;2023-02-02 00:00:00;2;57356.535;2;AMEN BK 1
RF00000094;1032;17;AM23000153;2023-02-02 16:26:00;5;579.359;2;
RF00000096;1049;0;AM23000069;2023-02-04 00:00:00;3;150000.0;2;AMEN BK 1
RF00000097;1049;0;AM23000118;2023-02-04 00:00:00;3;152628.214;2;AMEN BK 1
RF00000098;1049;17;MAV23000011;2023-02-04 00:00:00;3;150000.0;2;AMEN BK 1
RF00000099;1049;0;AM23000169;2023-02-04 00:00:00;5;4572.002;2;
RF00000100;1319;0;AM23000141;2023-02-07 00:00:00;2;14468.232;2;AMEN BK 1
RF00000101;1300;16;4631;2023-02-09 00:00:00;5;0.0;2;
RF00000102;1300;16;4624;2023-02-09 00:00:00;3;101139.29;2;AMEN BK 1
RF00000103;1300;0;AM00000003959;2023-02-09 00:00:00;5;1021.609;1;
RF00000104;1032;17;AM23000156;2023-02-09 00:00:00;2;48392.913;2;AMEN BK 1
RF00000105;1032;17;AM23000156;2023-02-09 00:00:00;5;488.817;2;
RF00000106;FEX027;0;FCN00595;2023-02-09 00:00:00;2;1460.975;2;AMEN BK 1
RF00000107;FEX027;0;FCN00596;2023-02-09 00:00:00;5;45.185;2;
RF00000108;FEX588;17;F2300308;2023-02-09 00:00:00;2;430.889;2;AMEN BK 1
RF00000109;FEX5632;17;2200771;2023-02-09 00:00:00;2;821.276;2;AMEN BK 1
RF00000110;1032;0;AM23000166;2023-02-10 00:00:00;2;148073.903;2;AMEN BK 1
RF00000111;1032;0;AM23000170;2023-02-10 00:00:00;5;1495.696;2;
RF00000112;1032;0;AM23000185;2023-02-10 00:00:00;2;16057.58;2;AMEN BK 1
RF00000113;1032;0;AM23000186;2023-02-10 10:29:00;5;162.198;2;
RF00000114;1319;17;AM23000162;2023-02-10 00:00:00;4;41865.25;2;AMEN BK 1
RF00000115;1032;17;AM23000190;2023-02-14 00:00:00;2;89121.899;2;AMEN BK 1
RF00000116;1032;17;AM23000190;2023-02-14 00:00:00;5;900.221;2;
RF00000117;1321;17;AM23000184;2023-02-14 00:00:00;3;5499.0;2;AMEN BK 1
RF00000118;1319;16;AM23000165;2023-02-14 00:00:00;2;42008.135;2;AMEN BK 1
RF00000119;1309;17;AM23000175;2023-02-14 00:00:00;2;122000.6;2;AMEN BK 1
RF00000120;1298;17;AM23000198;2023-02-14 00:00:00;2;21235.5;2;AMEN BK 1
RF00000121;1298;17;AM23000198;2023-02-14 00:00:00;5;214.5;2;
RF00000122;4082;17;AM23000177;2023-02-14 00:00:00;2;163474.227;2;AMEN BK 1
RF00000123;4082;17;AM23000177;2023-02-14 15:39:00;5;1651.255;2;
RF00000124;4082;17;AM23000183;2023-02-14 00:00:00;2;17223.266;2;AMEN BK 1
RF00000125;4082;17;AM23000183;2023-02-14 15:41:00;5;173.972;2;
RF00000126;4082;17;AM23000200;2023-02-14 00:00:00;2;22144.199;2;AMEN BK 1
RF00000127;4082;17;AM23000200;2023-02-14 15:43:00;5;223.679;2;
RF00000128;FEX7893;0;1;2023-02-14 00:00:00;2;1172.15;2;AMEN BK 1
RF00000129;FEX7893;0;34;2023-02-14 00:00:00;5;17.85;2;
RF00000130;AMEN BANK 1;0;;2023-02-14 00:00:00;2;5000.0;0;AMEN BK 1
RF00000131;5097;0;23-004.385;2023-02-14 00:00:00;2;9980.2;2;AMEN BK 1
RF00000132;1032;17;AM23000196;2023-02-15 00:00:00;2;51624.895;2;AMEN BK 1
RF00000133;1032;17;AM23000196;2023-02-15 00:00:00;5;521.464;2;
RF00000134;FEX126;17;20417;2023-02-16 00:00:00;2;851.617;2;AMEN BK 1
RF00000135;4008;0;AM23000160;2023-02-16 00:00:00;2;23800.32;1;AMEN BK 1
RF00000136;1032;17;AM23000208;2023-02-16 00:00:00;2;68725.055;2;AMEN BK 1
RF00000137;1032;17;AM23000208;2023-02-16 15:59:00;5;694.192;2;
RF00000138;1080;0;AM23000142;2023-02-17 00:00:00;3;5572.668;2;AMEN BK 1
RF00000139;1080;0;AM23000210;2023-02-17 00:00:00;5;15159.34;2;
RF00000140;1080;0;AM23000210;2023-02-17 00:00:00;3;774.728;2;AMEN BK 1
RF00000141;1037;0;AM23000078;2023-02-17 00:00:00;3;774288.432;2;AMEN BK 1
RF00000142;1037;0;AM23000640;2023-02-17 13:01:00;5;3890.897;2;
RF00000145;1319;0;AM23000206;2023-02-17 00:00:00;2;49312.098;2;AMEN BK 1
RF00000146;1013;17;AM23000212;2023-02-18 00:00:00;2;8789.396;2;AMEN BK 1
RF00000147;1013;17;AM23000212;2023-02-18 00:00:00;5;88.782;2;
RF00000148;1032;17;AM23000214;2023-02-18 00:00:00;2;89121.899;2;AMEN BK 1
RF00000149;1032;17;AM23000214;2023-02-18 09:41:00;5;900.221;2;
RF00000150;3022;17;AM23000207;2023-02-18 00:00:00;2;2347.0;2;AMEN BK 1
RF00000151;FLE0016;17;66013256;2023-02-18 00:00:00;2;2726.96;2;AMEN BK 1
RF00000152;5163;17;2022003574;2023-02-20 00:00:00;2;2219.653;2;AMEN BK 1
RF00000153;5163;17;2022003574;2023-02-20 00:00:00;5;22.421;2;
