EC_No;TA_Taux01;RT_Base01;RT_Montant01;JO_Num;EC_Date;CT_Num;JO_Type
495828;19.0;3370.861;640.464;01;2024-01-29;1098;0
474255;1.0;0.0;0.0;06;2023-11-15;;3
334309;1.0;15.624;524.362;05;2022-05-26;4110000352;2
309435;1.0;135.217;1.352;03;2022-02-10;4110000352;1
309363;1.0;135.217;9074.654;10;2022-02-10;4110000352;2
498561;19.0;1974.8;375.212;03;2024-02-06;4110000440;1
498548;19.0;6970.163;1324.331;03;2024-02-06;4110000022;1
498503;7.0;1121.472;78.503;03;2024-02-06;4110000353;1
498364;19.0;1321.073;251.004;03;2024-02-06;4110000256;1
498357;19.0;831.928;158.066;03;2024-02-06;4110000085;1
497857;19.0;3865.592;734.462;03;2024-02-05;4110000249;1
497839;19.0;53042.015;10077.52;01;2024-02-05;1343;0
497748;19.0;1310.904;249.072;03;2024-02-02;4110000121;1
497691;19.0;1342.864;255.144;03;2024-02-02;4110000022;1
496103;19.0;7264.813;1380.314;03;2024-01-29;4110000022;1
496100;19.0;-7478.995;-1421.009;03;2024-01-29;4110000022;1
496097;19.0;7478.995;1421.009;03;2024-01-29;4110000022;1
496070;19.0;13536.38;2571.912;03;2024-01-29;4110000022;1
495861;19.0;59916.483;11384.132;02;2024-01-29;1098;2
495859;19.0;75153.212;14279.11;02;2024-01-29;1098;2
495850;19.0;24001.236;4560.235;01;2024-01-29;1098;0
495846;19.0;75153.212;14279.11;01;2024-01-29;1098;0
495840;19.0;3212.07;610.293;01;2024-01-29;1098;0
495834;19.0;29332.316;5573.14;01;2024-01-29;1098;0
498611;19.0;1699.217;322.851;03;2024-02-06;4110000048;1
498630;19.0;2962.2;562.818;03;2024-02-06;4110000022;1
498637;19.0;3282.544;623.683;03;2024-02-06;4110000216;1
498690;19.0;53042.015;10077.52;02;2024-02-07;1343;2
498756;19.0;584.024;110.965;03;2024-02-07;4110000363;1
498763;19.0;1397.541;265.533;03;2024-02-07;4110000386;1
499921;19.0;301.68;57.319;03;2024-02-12;4110000326;1
499128;7.0;1121.472;78.503;03;2024-02-08;4110000333;1
499136;19.0;2422.867;460.345;03;2024-02-08;4110000943;1
499140;19.0;3567.304;677.788;03;2024-02-08;4110000264;1
499150;19.0;3883.705;737.904;03;2024-02-08;4110000488;1
499281;19.0;1815.627;344.97;03;2024-02-08;4110000439;1
499388;19.0;988.26;187.769;03;2024-02-09;4110000541;1
499395;19.0;2553.367;485.14;03;2024-02-09;4110000501;1
