CT_Num;last_purchase_date;frequency;montant_12m
4110000004;2026-02-26;52;689558.455
4110000007;2026-02-11;3;5690.558
4110000008;2026-02-13;42;346394.302
4110000010;2026-02-16;45;182939.924
4110000011;2025-09-23;2;19552.0
4110000012;2026-02-28;26;81986.213
4110000013;2026-02-21;30;127959.522
4110000014;2026-02-28;28;527019.864
4110000015;2025-07-07;3;5183.117
4110000016;2026-02-26;47;128050.574
4110000017;2026-03-09;39;570966.71
4110000019;2026-02-14;18;52253.234
4110000020;2026-02-25;52;593001.116
4110000022;2026-03-09;952;6351976.381
4110000025;2026-03-09;46;85493.616
4110000026;2026-02-27;20;55792.062
4110000027;2026-02-23;41;358587.183
4110000031;2025-11-24;2;39995.606
4110000032;2026-02-28;52;501193.669
4110000033;2025-12-05;10;8073.966
4110000034;2025-07-10;1;15006.4
4110000035;2026-01-24;43;268834.792
4110000036;2026-03-09;120;581355.286
4110000037;2026-02-17;8;66873.462
4110000038;2026-01-22;34;50693.746
4110000039;2025-07-17;6;38409.476
4110000048;2026-03-04;48;146169.702
4110000052;2026-03-07;34;80285.742
4110000056;2025-09-29;22;38425.582
4110000059;2026-02-09;9;15552.47
4110000061;2026-02-04;33;115084.474
4110000063;2026-02-28;18;54490.485
4110000065;2025-10-17;4;15113.628
4110000066;2026-02-24;71;343271.546
4110000069;2026-02-18;18;295491.616
4110000070;2026-02-20;34;105823.513
4110000071;2026-02-09;10;178324.952
4110000072;2026-02-24;2;5990.884
4110000075;2026-02-23;64;181068.401
4110000076;2025-06-16;1;32293.0
4110000078;2026-01-31;9;35239.477
4110000079;2025-09-10;12;51876.021
4110000080;2026-02-28;84;379791.918
4110000082;2025-09-16;1;22393.619
4110000083;2026-02-26;60;419824.435
4110000084;2026-02-25;37;165366.505
4110000085;2026-02-17;49;250276.533
4110000086;2025-10-13;15;77283.949
4110000088;2026-02-11;21;57312.554
4110000090;2025-09-30;12;17466.949
4110000097;2026-02-24;12;56007.604
4110000098;2026-02-06;45;205460.41
4110000100;2026-02-27;29;174615.535
4110000103;2026-01-14;4;31701.978
4110000105;2026-03-05;48;224874.03
4110000106;2025-12-29;10;45661.07
4110000110;2026-02-25;21;131934.092
4110000111;2026-02-17;20;106571.41
4110000113;2025-12-24;4;11325.299
4110000120;2026-01-15;13;54272.226
4110000121;2026-02-21;35;135431.166
4110000130;2026-02-16;18;27950.879
4110000135;2025-10-20;4;0.0
4110000137;2026-03-04;16;23334.846
4110000140;2025-09-17;1;2010.202
4110000142;2025-11-21;12;70401.199
4110000145;2025-11-27;8;97512.413
4110000146;2026-02-28;47;145150.908
4110000147;2026-02-05;31;266747.774
4110000152;2026-02-18;53;135424.783
4110000160;2026-01-08;7;21850.249
4110000166;2026-02-20;38;121137.835
4110000167;2026-02-24;51;198182.84
4110000172;2025-11-28;28;79659.268
4110000173;2025-07-05;6;17289.532
4110000174;2025-10-07;11;11187.147
4110000175;2025-12-12;17;32293.523
4110000178;2026-02-28;66;424275.191
4110000179;2026-02-09;22;114518.31
4110000186;2026-03-05;73;326824.196
4110000188;2026-03-03;72;477076.768
4110000195;2026-02-18;12;8689.108
4110000203;2026-02-25;29;228878.846
4110000209;2026-03-02;23;492685.459
4110000210;2026-02-28;26;137026.81
4110000213;2026-03-07;170;1093401.722
4110000214;2026-02-28;25;81001.334
4110000215;2026-02-20;40;247867.466
4110000216;2026-03-05;38;219006.867
4110000219;2026-03-04;36;134007.864
4110000220;2026-02-23;30;298513.8
4110000221;2026-02-28;115;715838.982
4110000223;2026-01-28;19;152805.51
4110000229;2026-03-07;74;182236.756
4110000230;2026-03-05;49;331611.383
4110000235;2026-02-28;37;130531.313
4110000239;2026-03-04;80;495525.692
4110000240;2026-02-23;22;177503.51
4110000242;2026-02-18;13;12193.511
4110000243;2026-02-04;13;82659.204
4110000245;2026-02-24;43;137509.494
4110000249;2026-03-05;52;209547.993
