AR_Ref;qte_vendue_365j
;0.0
1001010101;167610.0
1001010102;82542.0
1001010103;66923.0
1001010104;61896.0
1001010105;40656.0
1001010106;6720.0
1001010107;41615.0
1001010108;5472.0
1001010110;4080.0
1001010112;42326.0
1001010123;1680.0
1001010125;3072.0
1001010126;3120.0
1001010127;6360.0
1001010202;72588.0
1001010204;44172.0
1001010205;61911.0
1001010207;17184.0
1001010208;76896.0
1001010210;13824.0
1001010211;19212.0
1001010213;23604.0
1001010215;16008.0
1001010223;4536.0
1001010231;-1.0
1001010232;1860.0
1001010233;2214.0
1001010301;37730.0
1001010302;972.0
1001010303;20686.0
1001010304;18450.0
1001010305;19488.0
1001010306;6930.0
1001010307;4896.0
1001010308;4716.0
1001010310;2412.0
1001010312;300.0
1001010314;60.0
1001010319;480.0
1001010322;25548.0
1001010323;300.0
1001010324;8550.0
1001010325;120.0
1001010328;2400.0
1001010329;2580.0
1001010330;300.0
1001010331;900.0
1001010401;84252.0
1001010402;51984.0
1001010403;45690.0
1001010404;49332.0
1001010405;7872.0
1001010406;5346.0
1001010407;360.0
1001010409;4816.0
1001010419;81942.0
1001010421;600.0
1001010501;106191.0
1001010602;185475.0
1001010603;1896.0
1001010604;107253.0
1001010605;51792.0
1001010606;3.0
1001010609;51576.0
1001010701;605921.0
1001010702;241185.0
1001010703;385260.0
1001010704;12912.0
1001010706;120.0
1001010708;11352.0
1001010709;261197.0
1001010710;387255.0
1001010713;13260.0
1001010715;29892.0
1001010716;30192.0
1001010717;31308.0
1001010718;53304.0
1001010801;210049.0
1001010805;96874.0
1001010806;2220.0
1001010807;57138.0
1001010808;2252.0
1001011001;516166.0
1001011003;4452.0
1001011004;321698.0
1001011005;11976.0
1001011006;228948.0
1001011013;164995.0
1001011018;16914.0
1001011019;32375.0
1001020202;33552.0
1001020207;29520.0
1001020209;4080.0
1001020217;720.0
1001020219;300.0
1001020220;1860.0
1001020221;67410.0
1001020223;5040.0
1001020225;5760.0
1001020231;1002856.0
1001020301;1663177.0
1001020302;10651541.0
1001020303;1179098.0
1001020309;57312.0
1001020310;240.0
1001020311;0.0
1001020312;2628.0
1001020315;480.0
1001020317;480.0
1001020319;627316.0
1001020321;635268.0
1001020401;353183.0
1001020403;8106.0
1001020404;7950.0
1001020406;57505.0
1001020407;120425.0
1001020408;62536.0
1001020410;7932.0
1001020411;-11.0
1001020415;0.0
1001020416;13308.0
1001020417;15342.0
1001020430;2171.0
1001020449;32416.0
1001020450;36987.0
1001020503;384.0
1001020504;7680.0
1001020607;150972.0
1001020617;6000.0
1001020620;1704.0
1001020623;1440.0
1001020624;1440.0
1001020628;7800.0
1001020629;10704.0
1001020630;720.0
1002010108;-4824.0
1002010110;44125.0
1002010111;1785.0
1002010116;-348.0
1002010117;-728.0
1002010119;-83.0
1002010224;0.0
1002010225;0.0
1002010226;37175.0
1002010227;53004.0
1002010228;187399.0
1002010229;63029.0
1002010230;229076.002
1002010231;73164.0
1002010235;48752.0
1002010237;2613.0
1002010238;672.0
1002010239;6468.0
1002010240;0.0
1002010244;8820.0
1002010245;13880.0
1002010318;5130.0
1002010319;3564.0
1002010321;29514.0
1002010322;37453.0
1002010323;21492.0
1002010324;-224.0
1002010325;12474.0
1002010326;9123.0
1002010329;7785.0
1002010332;994.0
1002010335;13204.0
1002010416;73341.0
1002010418;583302.0
1002010421;264049.0
1002010422;12800.0
1002010424;73920.0
1002010426;7552.0
1002010427;0.0
1002010428;0.0
1002010429;62144.0
1002010501;-9.0
1101020201;45755.0
1101020202;288.0
1101020203;21203.0
1101020204;590.0
1101020206;27828.0
1101020207;13302.0
1101020208;1118.0
1101020209;620.0
1101020215;90.0
1101020218;48.0
1101020225;792.0
1101020226;752.0
1101020227;3552.0
1101020228;1938.0
1101030104;-2.0
1101030109;4235.0
1101030303;4970.0
1101030403;2533.0
1101060215;145.0
1101060216;105.0
1101060217;125.0
1101060218;315.0
1101060301;312.0
1101060302;19536.0
1101060303;1621.0
1101060307;13239.0
1101060308;172689.0
1101060325;1.0
1101060339;250.0
1101060341;30.0
1101060342;30.0
1101060344;90.0
1101060345;120.0
1101060346;50.0
1101060349;60.0
1101060350;14088.0
1101060355;30.0
1101060356;60.0
1101060358;210.0
1101060401;3360.0
1101060402;5329.0
1101090301;1275.0
1102010103;68.0
1102010104;5640.0
1102010106;3660.0
1102010111;600.0
1102010207;30336.0
1102010208;40.0
1102010215;3864.0
1102010216;4104.0
1102010217;5472.0
1102010230;27480.0
1102010231;39420.0
1102010249;240.0
1102010260;53739.0
1102010269;84.0
1102010272;2800.0
1102010275;620.0
1102010276;2120.0
1102010277;640.0
1102010278;7200.0
1102010279;1000.0
1102010284;400.0
1102020103;3072.0
1102020104;2784.0
1102020105;44060.0
1102020106;25540.0
1102020107;1000.0
1102020108;400.0
1102020117;1000.0
1102020125;240.0
1102020203;46100.0
1102020211;239840.0
1102020212;62880.0
1102020220;49260.0
1102020255;22580.0
1102030118;132.0
1102030141;6000.0
1102040133;720.0
1102040134;720.0
1102040135;1500.0
1102040138;1800.0
1103020107;12.0
1103020108;16.0
1103020133;8.0
1103020134;8.0
1103050223;5023.0
1104010103;60.0
1104010702;2832.0
1104010706;240.0
1104010801;13200.0
1104010802;60.0
1104011301;132.0
1106020201;54381.0
1106020204;4444043.0
1106020206;247861.0
1106020301;1200.0
1106020304;606916.0
1106020308;31106.988
1106021001;-24.0
1106021002;-1101.0
1106021003;-17.0
1106021008;600.0
